Download: http://www.projectmanagement.ugent.be/research/personnel_scheduling/nsp

Instance file explained using case N25/1.nsp.

Nurses: 25    Days: 7    Shifts: 4

Number of nurses needed for each shift
Day 1: 3 nurses (shift 1), 3 nurses (shift 2), 2 nurses (shift 3), 0 nurses (shift 4)
0	1	2	0
3	3	1	0
2	1	1	0
3	2	1	0
0	1	2	0
2	1	1	0

Preferences for each nurse by day/shift.
Day 1, nurse 1: 4 (shift 1)	2 (shift 2)	4 (shift 3)	4 (shift 4). Day 2, nurse 1 :3	1	1	1	4	2	4	4	4	2	4	4	4	2	4	4	3	1	1	1	3	1	1	1
Day 1, nurse 2: 1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1
1	2	1	1	2	1	1	1	1	2	1	1	1	2	1	1	1	2	1	1	2	1	1	1	2	1	1	1
4	2	4	4	2	2	2	2	4	2	4	4	4	2	4	4	4	2	4	4	2	2	2	2	2	2	2	2
4	1	4	4	1	1	1	1	4	1	4	4	4	1	4	4	4	1	4	4	1	1	1	1	1	1	1	1
4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
4	4	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	2	4	4	4
1	3	1	1	2	1	1	1	1	3	1	1	1	3	1	1	1	3	1	1	2	1	1	1	2	1	1	1
3	3	3	3	3	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	3	4	4	4
1	2	1	1	1	3	3	3	1	2	1	1	1	2	1	1	1	2	1	1	1	3	3	3	1	3	3	3
3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	4	3	3	3
3	1	3	3	2	4	4	4	3	1	3	3	3	1	3	3	3	1	3	3	2	4	4	4	2	4	4	4
1	2	1	1	1	4	4	4	1	2	1	1	1	2	1	1	1	2	1	1	1	4	4	4	1	4	4	4
4	2	4	4	3	1	1	1	4	2	4	4	4	2	4	4	4	2	4	4	3	1	1	1	3	1	1	1
2	1	2	2	3	1	1	1	2	1	2	2	2	1	2	2	2	1	2	2	3	1	1	1	3	1	1	1
3	4	3	3	1	4	4	4	3	4	3	3	3	4	3	3	3	4	3	3	1	4	4	4	1	4	4	4
1	1	1	1	1	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	4	4	4	1	4	4	4
2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1
1	3	1	1	1	2	2	2	1	3	1	1	1	3	1	1	1	3	1	1	1	2	2	2	1	2	2	2
3	1	3	3	1	4	4	4	3	1	3	3	3	1	3	3	3	1	3	3	1	4	4	4	1	4	4	4
3	1	3	3	4	3	3	3	3	1	3	3	3	1	3	3	3	1	3	3	4	3	3	3	4	3	3	3
4	2	4	4	3	3	3	3	4	2	4	4	4	2	4	4	4	2	4	4	3	3	3	3	3	3	3	3
3	1	3	3	2	4	4	4	3	1	3	3	3	1	3	3	3	1	3	3	2	4	4	4	2	4	4	4
1	4	1	1	1	2	2	2	1	4	1	1	1	4	1	1	1	4	1	1	1	2	2	2	1	2	2	2
3	2	3	3	2	2	2	2	3	2	3	3	3	2	3	3	3	2	3	3	2	2	2	2	2	2	2	2
